,Roll,Sem,SubCode,Credit,Grade,Sub_Type
0,0401CS01,1,CH101,8,BB,CORE
1,0401CS01,1,CH110,3,BC,CORE
2,0401CS01,1,EE101,8,BB,CORE
3,0401CS01,1,HS101,6,BB,CORE
4,0401CS01,1,MA101,8,BB,CORE
5,0401CS01,1,ME111,7,AB,CORE
6,0401CS01,1,PH101,6,CC,CORE
7,0401CS01,1,PH110,3,AA,CORE
8,0401CS01,2,CH102,6,CC,CORE
9,0401CS01,2,CS101,6,BC,CORE
10,0401CS01,2,CS110,3,BC,CORE
11,0401CS01,2,EE102,4,BB,CORE
12,0401CS01,2,MA102,8,BC,CORE
13,0401CS01,2,ME101,8,BC,CORE
14,0401CS01,2,ME110,3,AB,CORE
15,0401CS01,2,PH102,6,CD,CORE
16,0401CS01,3,CS201,9,BB,CORE
17,0401CS01,3,CS203,6,BB,CORE
18,0401CS01,3,CS221,6,BB,CORE
19,0401CS01,3,EE220,8,BB,CORE
20,0401CS01,3,HS201,6,BB,HS Elective
21,0401CS01,3,MA201,8,BB,CORE
22,0401CS01,4,CS204,6,BB,CORE
23,0401CS01,4,CS222,6,CC,CORE
24,0401CS01,4,CS223,3,BB,CORE
25,0401CS01,4,CS241,7,AB,CORE
26,0401CS01,4,CS242,5,AB,CORE
27,0401CS01,4,HS202,6,BB,HS ELECTIVE
28,0401CS01,4,MA225,8,BB,CORE
29,0401CS01,4,MA251,6,BB,Elective-Sc.
30,0401CS01,5,CS301,6,BB,CORE
31,0401CS01,5,CS331,8,BC,CORE
32,0401CS01,5,CS341,6,BB,CORE
33,0401CS01,5,CS342,5,AB,CORE
34,0401CS01,5,CS343,6,BB,CORE
35,0401CS01,5,CS344,6,BB,CORE
36,0401CS01,5,CS345,5,BB,CORE
37,0401CS01,6,CS302,6,BC,CORE
38,0401CS01,6,CS346,6,BC,CORE
39,0401CS01,6,CS347,3,BB,CORE
40,0401CS01,6,CS348,8,BC,CORE
41,0401CS01,6,CS362,8,CC,CORE
42,0401CS01,6,CS399,3,AA,CORE
43,0401CS01,6,HS331,6,BB,HS Elective
44,0401CS01,7,CS400,2,AB,CORE
45,0401CS01,7,CS421,6,BC,CORE
46,0401CS01,7,CS422,5,BB,CORE
47,0401CS01,7,CS443,6,AB,DEPARTMENTAL ELECTIVE - II
48,0401CS01,7,CS461,6,BB,DEPARTMENTAL ELECTIVE - I
49,0401CS01,7,CS498,10,AA,CORE
50,0401CS01,7,MA410,6,AB,OPEN ELECTIVE - I
51,0401CS01,8,CS452,6,BB,Departmental Elective - IV
52,0401CS01,8,CS453,6,AA,Departmental Elective - III
53,0401CS01,8,CS499,16,AA,CORE
54,0401CS01,8,HS441,6,BB,HSS Elective
55,0401CS01,8,MA412,6,BC,Open Elective - II
56,0401CS02,1,CH101,8,AB,CORE
57,0401CS02,1,CH110,3,BB,CORE
58,0401CS02,1,EE101,8,AB,CORE
59,0401CS02,1,HS101,6,BC,CORE
60,0401CS02,1,MA101,8,AA,CORE
61,0401CS02,1,ME111,7,AB,CORE
62,0401CS02,1,PH101,6,AA,CORE
63,0401CS02,1,PH110,3,AA,CORE
64,0401CS02,2,CH102,6,AB,CORE
65,0401CS02,2,CS101,6,CC,CORE
66,0401CS02,2,CS110,3,BC,CORE
67,0401CS02,2,EE102,4,AB,CORE
68,0401CS02,2,MA102,8,AA,CORE
69,0401CS02,2,ME101,8,AB,CORE
70,0401CS02,2,ME110,3,BB,CORE
71,0401CS02,2,PH102,6,AB,CORE
72,0401CS02,3,CS201,9,BB,CORE
73,0401CS02,3,CS203,6,AB,CORE
74,0401CS02,3,CS221,6,AB,CORE
75,0401CS02,3,EE220,8,AB,CORE
76,0401CS02,3,HS201,6,AB,HS Elective
77,0401CS02,3,MA201,8,AB,CORE
78,0401CS02,4,CS204,6,BB,CORE
79,0401CS02,4,CS222,6,BB,CORE
80,0401CS02,4,CS223,3,AA,CORE
81,0401CS02,4,CS241,7,AB,CORE
82,0401CS02,4,CS242,5,AB,CORE
83,0401CS02,4,HS202,6,AB,HS ELECTIVE
84,0401CS02,4,MA225,8,AA,CORE
85,0401CS02,4,MA251,6,AB,Elective-Sc.
86,0401CS02,5,CS301,6,BB,CORE
87,0401CS02,5,CS331,8,BB,CORE
88,0401CS02,5,CS341,6,AB,CORE
89,0401CS02,5,CS342,5,AB,CORE
90,0401CS02,5,CS343,6,AB,CORE
91,0401CS02,5,CS344,6,AA,CORE
92,0401CS02,5,CS345,5,AB,CORE
93,0401CS02,6,CS302,6,BB,CORE
94,0401CS02,6,CS346,6,AB,CORE
95,0401CS02,6,CS347,3,AB,CORE
96,0401CS02,6,CS348,8,BB,CORE
97,0401CS02,6,CS362,8,AB,CORE
98,0401CS02,6,CS399,3,AA,CORE
99,0401CS02,6,HS331,6,BB,HS Elective
100,0401CS02,7,CS400,2,AB,CORE
101,0401CS02,7,CS421,6,AB,CORE
102,0401CS02,7,CS422,5,AA,CORE
103,0401CS02,7,CS443,6,AA,DEPARTMENTAL ELECTIVE - II
104,0401CS02,7,CS461,6,AB,DEPARTMENTAL ELECTIVE - I
105,0401CS02,7,CS498,10,AB,CORE
106,0401CS02,7,MA410,6,AB,OPEN ELECTIVE - I
107,0401CS02,8,CS449,6,BB,Departmental Elective - III
108,0401CS02,8,CS453,6,AB,Departmental Elective - IV
109,0401CS02,8,CS499,16,AA,CORE
110,0401CS02,8,HS441,6,BB,HSS Elective
111,0401CS02,8,MA412,6,BB,Open Elective - II
112,0401CS03,1,CH101,8,AB,CORE
113,0401CS03,1,CH110,3,AA,CORE
114,0401CS03,1,EE101,8,BB,CORE
115,0401CS03,1,HS101,6,BB,CORE
116,0401CS03,1,MA101,8,AA,CORE
117,0401CS03,1,ME111,7,BB,CORE
118,0401CS03,1,PH101,6,AA,CORE
119,0401CS03,1,PH110,3,AA,CORE
120,0401CS03,2,CH102,6,AB,CORE
121,0401CS03,2,CS101,6,AB,CORE
122,0401CS03,2,CS110,3,AB,CORE
123,0401CS03,2,EE102,4,BB,CORE
124,0401CS03,2,MA102,8,AB,CORE
125,0401CS03,2,ME101,8,BB,CORE
126,0401CS03,2,ME110,3,BC,CORE
127,0401CS03,2,PH102,6,AB,CORE
128,0401CS03,3,CS201,9,AB,CORE
129,0401CS03,3,CS203,6,AA,CORE
130,0401CS03,3,CS221,6,AB,CORE
131,0401CS03,3,EE220,8,AB,CORE
132,0401CS03,3,HS221,6,BB,HS Elective
133,0401CS03,3,MA201,8,AA,CORE
134,0401CS03,4,CS204,6,BB,CORE
135,0401CS03,4,CS222,6,BB,CORE
136,0401CS03,4,CS223,3,AA,CORE
137,0401CS03,4,CS241,7,BC,CORE
