,subno,subname,ltp,crd
0,CB102,Biology,1.5-0-0,3
1,CB201,Chemical Process Calculations,2-1-0,6
2,CB202,Heat Transfer,3-1-0,8
3,CB203,Fluid Mechanics,3-1-0,8
4,CB204,Mass Transfer - I,2-1-0,6
5,CB205,Mechanical Operations,3-0-0,6
6,CB206,Chemical Engineering Thermodynamics,3-0-0,6
7,CB208,Process Equipment Design - I,1-0-3,5
8,CB210,Mechanical Operations and Fluid Flow Lab,0-0-3,3
9,CB211,Chemical Process Calculations,3-1-0,8
10,CB301,Chemical Reaction Engineering,3-0-0,6
11,CB302,Chemical Reaction Engineering,3-0-0,6
12,CB303,Mass Transfer - II,2-1-0,6
13,CB304,Chemical Process Modelling and Simulation,3-0-0,6
14,CB305,Chemical Process Technology,3-0-0,6
15,CB306,Chemical Process Simulation Lab,0-0-3,3
16,CB307,Process Eqipment Design - II,1-0-3,5
17,CB308,Process Control and Instrumentation,3-1-0,8
18,CB309,Mass Transfer Lab,0-0-3,3
19,CB310,Chemical Reaction Engg. and Environmental Engg. Lab,0-0-3,3
20,CB311,Process Control and Instrumentation,3-1-0,8
21,CB314,Unit Operations and Heat Transfer Lab,0-0-3,3
22,CB315,Reaction Engineering and Chemical Process Laboratory,0-0-3,3
23,CB316,Process Control and Instrumentation,3-0-0,6
24,CB317,Heat Transfer and Thermodynamics Lab,0-0-3,3
25,CB318,Chemical Reactor Design,3-0-0,6
26,CB320,Catalysis Science and Engineering,3-0-0,6
27,CB324,Bio Process Engineering,3-0-0,6
28,CB401,Transport Phenomena,3-1-0,8
29,CB402,Project - II,0-0-12,12
30,CB403,Summer Training,0-0-0,1
31,CB404,Process Plant Design and Economics,3-0-0,6
32,CB405,Process Control Lab,0-0-3,3
33,CB406,Bio Process Engineering,3-0-0,6
34,CB407,Process Plant Design and Economics,3-0-0,6
35,CB409,Grand Viva,0-0-0,1
36,CB411,Process Equipment Design - II,3-0-0,6
37,CB412,Chemical Process Modelling and Simulation,3-0-0,6
38,CB417,Project - I,0-0-8,8
39,CB428,Renewable Energy Sources,3-0-0,6
40,CB501,Molecular Modeling and Simulation,3-0-0,6
41,CB502,Heterogeneous Catalysis - Fundamentals and Applications,3-0-0,6
42,CB503,Process Integration,3-0-0,6
43,CB504,Renewable and Non-Conventional Energy Sources,3-0-0,6
44,CB505,Bioprocess Principles and Biotechnology,3-0-0,6
45,CB508,Advanced Separation Processes,2-0-2,6
46,CE102,Environmental Studies,1.5-0-0,3
47,CE111,Engineering Drawing,1-0-3,5
48,CE201,Introduction to Materials and Solid Mechanics,3-0-0,6
49,CE202,Structural Analysis,3-1-0,8
50,CE203,Geomatics Engineering,3-0-0,6
51,CE204,Irrigation and Flood Control Engineering,3-0-0,6
52,CE205,Fluid Mechanics and Hydraulics,3-0-0,6
53,CE206,Introduction to Soil Mechanics and Foundation Engineering,3-0-0,6
54,CE207,Fluid Mechanics and Hydraulics Laboratory,0-0-3,3
55,CE208,Numerical Methods for Civil and Infrastructure Engineering,3-0-0,6
56,CE209,Geomatics Engineering Laboratory,0-0-3,3
57,CE210,Soil Mechanics Laboratory,0-0-3,3
58,CE211,Structural Mechanics,3-0-0,6
59,CE212,Geomatics Engineering Laboratory,0-0-3,3
60,CE213,Fluid Mechanics,3-0-0,6
61,CE214,Soil Mechanics,3-0-0,6
62,CE216,Civil Engineering Materials,3-0-0,6
63,CE218,Infrastructure Drawing and Estimation,1-0-3,5
64,CE220,Structural Analysis,3-0-0,6
65,CE291,Fluid Mechanics Laboratory,0-0-3,3
66,CE292,Soil Mechanics Laboratory,0-0-3,3
67,CE293,Geomatics Engineering Laboratory,0-0-3,3
68,CE301,Design of Reinforced Concrete Structures,3-1-0,8
69,CE302,Design of Steel Structures,3-1-0,8
70,CE303,Water Supply and Wastewater Engineering,3-0-0,6
71,CE304,"Infrastructure Planning, Management and Evaluation",3-0-0,6
72,CE305,Transportation Engineering,3-0-0,6
73,CE306,Town and Regional Planning,3-0-0,6
74,CE307,Construction Planning and Management,3-0-0,6
75,CE308,Machineries in Infrastructure Engineering,3-0-0,6
76,CE309,"Building Design, Estimation & Construction",2-0-3,7
77,CE310,Environmental Quality and Pollution Measurement Laboratory,0-0-3,3
78,CE311,Structural Laboratory,0-0-3,3
79,CE312,Seminar,0-0-3,3
80,CE313,Transportation Engineering Laboratory,0-0-3,3
81,CE314,Water Resources Engineering,3-0-0,6
82,CE315,Industrial Waste Treatment and Management,3-0-0,6
83,CE316,Advanced Soil Mechanics and Foundation Engineering,3-0-0,6
84,CE317,Foundation Engineering,3-0-0,6
85,CE318,Construction Planning and Management,3-0-0,6
86,CE319,Numerical Methods in Civil Engineering,3-0-0,6
87,CE320,Design of Steel Structures,3-0-0,6
88,CE321,Design of Reinforced Concrete Structures,3-0-0,6
89,CE322,Hydrology,3-0-0,6
90,CE324,Transportation Engineering,3-0-0,6
91,CE381,Introduction to Infotainment,3-0-0,6
92,CE391,Environmental Engineering Laboratory,0-0-3,3
93,CE392,Transportation Engineering Laboratory,0-0-3,3
94,CE393,Structural Engineering and Materials Laboratory,0-0-3,3
95,CE394,Water Resources Engineering Laboratory,0-0-3,3
96,CE400,Summer Training,0-0-0,2
97,CE401,Infrastructure Laws and Professional Ethics,3-0-0,6
98,CE403,"Infrastructure Project Economics, Valuation and Contracts",3-0-0,6
99,CE442,Industrial Waste Treatment and Management,3-0-0,6
100,CE491,Design Studio,0-0-3,3
101,CE495,Project - I, 0-0-6,6
102,CE496,Project - II,0-0-18,18
103,CE498,Project - I,0-0-8,8
104,CE499,Project - II,0-0-16,16
105,CE501,Sustainable Urban Planning,3-0-0,6
106,CE502,Infrastructure Economics,3-0-0,6
107,CE503,Construction Technology and Management,3-0-0,6
108,CE504,Electrical and Mechanical Systems in Infrastructure Engineering,3-0-0,6
109,CE505,Advanced Engineering Mathematics,3-0-0,6
110,CE506,Civil Engineering Design - II,1-2-0,6
111,CE507,Civil Engineering Design - I,1-2-0,6
